gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
TRIM9	1	psychosis	Psychosis (atypical)	http://www.ebi.ac.uk/efo/EFO_0005407	24132900	GCST002211
TRIM9 - TMX1	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
TRIO	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	27777418	GCST005547
TRIOBP	1	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
TRIP13 - LINC02982	3	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	37344610	GCST90308728
TRIQK	2	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	40962958	GCST90568440
TRMT11	2	Obsessive-compulsive trait; psychosis predisposition measurement	Obsessive-compulsive traits; Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale)	http://purl.obolibrary.org/obo/HP_0008770; http://www.ebi.ac.uk/efo/EFO_0008337	28525603; 33531474	GCST004681; GCST012194
TRMT61A	1	major depressive disorder	Depression	http://purl.obolibrary.org/obo/MONDO_0002009	34586374	GCST90058037
TRMT61A - RNU7-160P	2	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; schizophrenia, type 2 diabetes mellitus	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Type 2 diabetes or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056; 36329495	GCST90134330; GCST90244709
TRMT9B	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	24677629	GCST002401
TRPC4	4	obsessive-compulsive disorder, Tourette syndrome; schizophrenia	Schizophrenia; Tourette's syndrome or obsessive-compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0004895	25158072; 35396580; 39753749	GCST002682; GCST90128471; GCST90503210
TRPC4 - LINC02334	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 35396580	GCST003048; GCST90128471
TRPC6P8 - ZP3P2	1	attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009	23453885	GCST001877
TRPM1	1	response to risperidone	Response to antipsychotic treatment	http://purl.obolibrary.org/obo/GO_0097336	19721433	GCST000473
TRPM3	3	lifestyle measurement, anxiety disorder measurement; major depressive disorder; response to selective serotonin reuptake inhibitor	Anxiety severity x playing computer games interaction; Major depressive disorder; Response to serotonin reuptake inhibitors in major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0005658; http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	25897834; 31969693; 34877740	GCST002868; GCST009979; GCST90101757
TRPM6	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
TRPS1	4	major depressive disorder; schizophrenia; schizophrenia, anorexia nervosa, obesity; schizophrenia, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus, major depressive disorder	Major depressive disorder; Obesity class II and Anorexia nervosa or Schizophrenia; Schizophrenia; Type 2 diabetes and Anorexia nervosa or Major depressive disorder or schyzophrenia or obsessive compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009	22472876; 35396580; 36137488; 36738649	GCST001469; GCST90128471; GCST90624556; GCST90624696
TRPS1 - LINC00536	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TRPT1	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	21784300	GCST001154
TRPV4	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TRPV6 - TRPV5	1	anxiety measurement	Anxiety	http://www.ebi.ac.uk/efo/EFO_0009863	31906708	GCST009837
TRUB1 - LINC02626	1	attention deficit hyperactivity disorder, bipolar disorder	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985	27890468	GCST004002
TSBP1	5	autism spectrum disorder, schizophrenia; bipolar disorder; bipolar disorder, inflammatory bowel disease; schizophrenia	Autism spectrum disorder or schizophrenia; Bipolar disorder; Bipolar disorder or inflammatory bowel disease (MTAG); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003767; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	26198764; 28540026; 31043756; 38154582	GCST003048; GCST004521; GCST008103; GCST90454586
TSBP1-AS1	9	autism spectrum disorder, schizophrenia; bipolar disorder; bipolar disorder, inflammatory bowel disease; bipolar disorder, schizophrenia; nicotine dependence symptom count; schizophrenia	Autism spectrum disorder or schizophrenia; Bipolar disorder; Bipolar disorder and schizophrenia; Bipolar disorder or inflammatory bowel disease (MTAG); Nicotine dependence symptom count; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003767; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0009262	22688191; 25555482; 26198764; 28540026; 31043756; 38154582	GCST001567; GCST003048; GCST004521; GCST008103; GCST010105; GCST90454586
TSBP1-AS1 - HLA-DRA	3	autism spectrum disorder, schizophrenia	Autism spectrum disorder or schizophrenia	http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090	28540026	GCST004521
TSC2	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29317602	GCST005231
TSC22D1-AS1	2	depressive symptom measurement, stressful life event measurement	Depressive symptoms x dependent stressful life events interaction (1df test); Depressive symptoms x dependent stressful life events interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0007781	30718454	GCST007410; GCST007411
TSEN15P3 - LINC03007	1	nicotine dependence symptom count	Nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	29532581	GCST006301
TSHR	1	Tourette syndrome	Tourette syndrome	http://www.ebi.ac.uk/efo/EFO_0004895	30818990	GCST007277
TSHR-AS1	2	Tourette syndrome; schizophrenia	Schizophrenia; Tourette syndrome	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004895	30818990; 35396580	GCST007277; GCST90128471
TSHZ1 - SMIM21	1	anorexia nervosa	Anorexia nervosa	http://purl.obolibrary.org/obo/MONDO_0005351	23568457	GCST001961
TSHZ2	2	bipolar disorder, body mass index; psychotic symptoms	Bipolar disorder (body mass index interaction); Psychosis in Alzheimer's disease	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0004340; http://www.ebi.ac.uk/efo/EFO_0005940	24322204; 34112972	GCST002306; GCST90020050
TSHZ3	3	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; generalized anxiety disorder, social risk factor; social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Externalizing behaviour (multivariate analysis); GAD score x Polysocial risk score (PsRS) interaction	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_1001892, http://www.ebi.ac.uk/efo/EFO_0022923	34446935; 35764056; 38063329	GCST90061435; GCST90134330; GCST90451693
TSHZ3-AS1	1	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
TSHZ3-AS1 - LINC02959	1	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	35764056	GCST90134330
TSNARE1	46	Anxiety; anxiety measurement; attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; attention deficit hyperactivity disorder, risk-taking behaviour; attention deficit hyperactivity disorder, schizophrenia; autism spectrum disorder, schizophrenia; bipolar disorder; depressive symptom measurement; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; obsessive-compulsive disorder, schizophrenia, anorexia nervosa, obesity; post-traumatic stress disorder; post-traumatic stress disorder symptom measurement; schizophrenia; schizophrenia, gastroesophageal reflux disease; schizophrenia, intelligence, self reported educational attainment; schizophrenia, major depressive disorder; substance-related disorder	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Anxiety; Anxiety/tension (special factor of neuroticism); Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy); Autism spectrum disorder or schizophrenia; Bipolar disorder (MTAG); Broad depression or schizophrenia; Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Depressive symptoms; Gastroesophageal reflux disease or schizophrenia (pleiotropy); Obesity class II and Anorexia nervosa or Obsesive-compulsive disorder or Schizophrenia; Post-traumatic stress disorder; Post-traumatic stress disorder symptom severity (avoidance); Post-traumatic stress disorder symptom severity (hyperarousal); Post-traumatic stress disorder symptom severity (total); Schizophrenia; Schizophrenia (MTAG); Schizophrenia vs ADHD (ordinary least squares (OLS)); Schizophrenia vs autism spectrum disorder (ordinary least squares (OLS)); Substance use disorder; Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0003948; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579; http://www.ebi.ac.uk/efo/EFO_0004242, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0008535; http://www.ebi.ac.uk/efo/EFO_0009863	23974872; 25056061; 26198764; 28540026; 28991256; 29483656; 29942085; 30285260; 30626913; 30643256; 30867560; 31268507; 31374203; 31740837; 31835028; 32606422; 33479212; 33510476; 33686288; 33859377; 34159505; 35396580; 35764056; 36137488; 36753304; 38565336; 38637617; 39753749; 41057643	GCST002149; GCST002539; GCST003048; GCST004521; GCST004946; GCST006478; GCST006803; GCST007201; GCST007257; GCST007340; GCST007710; GCST008459; GCST008595; GCST009337; GCST009600; GCST010640; GCST010641; GCST010645; GCST012089; GCST012091; GCST012354; GCST90016618; GCST90016620; GCST90020094; GCST90020095; GCST90128471; GCST90134330; GCST90271339; GCST90271777; GCST90271779; GCST90271780; GCST90271783; GCST90429151; GCST90503210; GCST90624568; GCST90627735; GCST90627736; GCST90704949
TSNARE1 - ADGRB1	1	bipolar disorder, sex interaction measurement	Bipolar disorder x sex interaction	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0008343	34099189	GCST012307
TSPAN18	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	22037552	GCST001299
TSPAN2	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
TSPAN33	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	31969693	GCST009979
TSPAN5	1	response to antipsychotic drug	Response to antipsychotic treatment in schizophrenia	http://purl.obolibrary.org/obo/GO_0097332	39562719	GCST90472773
TSPAN5-DT	1	alcohol use disorder measurement, alcohol dependence	Alcohol use disorder	http://www.ebi.ac.uk/efo/EFO_0009458, http://purl.obolibrary.org/obo/MONDO_0007079	30940813	GCST008259
TSPAN9	1	neuroticism measurement, major depressive disorder	Stress sensitivity (neuroticism score x major depressive disorder status interaction)	http://www.ebi.ac.uk/efo/EFO_0007660, http://purl.obolibrary.org/obo/MONDO_0002009	30571770	GCST008506
TSPAN9 - LINC02827	1	cutaneous Leishmaniasis	Cutaneous leishmaniasis	http://www.ebi.ac.uk/efo/EFO_0005046	32830257	GCST011739
TSPEAR - UBE2G2	2	suicide behaviour measurement	Suicidality in mood disorders; Suicide attempt severity in mood disorders	http://www.ebi.ac.uk/efo/EFO_0006882	33783297	GCST012279; GCST012280
TSPOAP1-AS1	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	31969693	GCST009979
TSPYL5 - SNORD3H	2	Tourette syndrome; response to risperidone	Antipsychotic drug-induced QTc interval prolongation; Tourette syndrome	http://purl.obolibrary.org/obo/GO_0097336; http://www.ebi.ac.uk/efo/EFO_0004895	20921969; 30818990	GCST000822; GCST007277
TTBK1	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
TTBK2-AS1	1	bipolar I disorder	Bipolar I disorder	http://www.ebi.ac.uk/efo/EFO_0009963	31043756	GCST008115
TTC12	10	depressive symptom measurement; mood disorder, major depressive disorder; schizophrenia; substance-related disorder	Depressed affect; Depressive symptoms (sum-score); Schizophrenia; Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006	26198764; 29942085; 30285260; 35396580; 39472661; 41057643	GCST003048; GCST006475; GCST007201; GCST90128471; GCST90565438; GCST90704949; GCST90704953
TTC12-DT	1	major depressive disorder	Major depressive disorder (broad)	http://purl.obolibrary.org/obo/MONDO_0002009	38177345	GCST90328131
